Lambda, Zero_Percentage,FDR, TPR
1410.755030895809, 1.0, 0.0, 0.0
705.3775154479046, 1.0, 0.0, 0.0
352.6887577239523, 0.967, 0.0033333333333333335, 0.3
176.34437886197614, 0.928, 0.012222222222222223, 0.61
88.17218943098807, 0.889, 0.034444444444444444, 0.8
44.086094715494035, 0.833, 0.08666666666666667, 0.89
22.043047357747017, 0.739, 0.18888888888888888, 0.91
11.021523678873509, 0.648, 0.2877777777777778, 0.93
5.510761839436754, 0.566, 0.37777777777777777, 0.94
2.755380919718377, 0.487, 0.46444444444444444, 0.95
1.3776904598591886, 0.419, 0.54, 0.95
0.6888452299295943, 0.341, 0.6255555555555555, 0.96
0.34442261496479715, 0.162, 0.8222222222222222, 0.98
0.17221130748239857, 0.006, 0.9933333333333333, 1.0
0.08610565374119929, 0.001, 0.9988888888888889, 1.0
